127.0.0.1 - - [18/Aug/2020:05:20:05 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:06 +0700] "GET /sample-project/ HTTP/1.1" 200 98732
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:07 +0700] "GET /sample-project/vendor/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 179
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/brand HTTP/1.1" 200 8283
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/brand HTTP/1.1" 200 8283
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/vendor/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 179
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/huawei.jpg HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/Nokia-Logo-600x600.jpg HTTP/1.1" 404 150
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/xiaomilogo.png HTTP/1.1" 404 142
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/sony_og_img.jpg HTTP/1.1" 404 143
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/vsmart.png HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/vivo-Phone-logo3-600x600.png HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/oplogo.jpg HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/assus.png HTTP/1.1" 404 137
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/LG-logo-600x600.jpg HTTP/1.1" 404 147
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/blackberry-logo.jpg HTTP/1.1" 404 147
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/sslogo.jpg HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/HTC%20600x600.png HTTP/1.1" 404 145
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:20 +0700] "GET /sample-project/aplogo.png HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:23 +0700] "GET /sample-project/brand/add HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:24 +0700] "GET /sample-project/images/image-demo.png HTTP/1.1" 200 7227
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:24 +0700] "GET /sample-project/vendor/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 179
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "POST /sample-project/brand/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/brand HTTP/1.1" 200 8693
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/vendor/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 404 179
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/uploaded/product/20200818-0520-142262.jpg HTTP/1.1" 404 169
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/vsmart.png HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/assus.png HTTP/1.1" 404 137
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/Nokia-Logo-600x600.jpg HTTP/1.1" 404 150
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/vivo-Phone-logo3-600x600.png HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/HTC%20600x600.png HTTP/1.1" 404 145
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/huawei.jpg HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/xiaomilogo.png HTTP/1.1" 404 142
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/LG-logo-600x600.jpg HTTP/1.1" 404 147
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/sony_og_img.jpg HTTP/1.1" 404 143
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/blackberry-logo.jpg HTTP/1.1" 404 147
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/oplogo.jpg HTTP/1.1" 404 138
0:0:0:0:0:0:0:1 - - [18/Aug/2020:05:20:41 +0700] "GET /sample-project/sslogo.jpg HTTP/1.1" 404 138
