127.0.0.1 - - [05/Sep/2020:13:17:32 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:36 +0700] "GET /sample-project/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:40 +0700] "GET /sample-project/ HTTP/1.1" 200 98712
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:40 +0700] "GET /sample-project/plugins/font-awesome/css/all.min.css HTTP/1.1" 200 46934
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:40 +0700] "GET /sample-project/css/base.css HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:40 +0700] "GET /sample-project/plugins/ekko-lightbox/ekko-lightbox.min.css HTTP/1.1" 200 7144
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:40 +0700] "GET /sample-project/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160409
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/Tragop-1200-44-1200x44-1.png HTTP/1.1" 200 12484
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/BIG-MG-690-300-690x300-1.png HTTP/1.1" 200 76782
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/690-300-690x300-15.png HTTP/1.1" 200 63093
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/03_07_2020_15_50_29_SONY-TV--690-300-(1).png HTTP/1.1" 200 50819
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/TCL-TV-690-300-690x300.png HTTP/1.1" 200 70459
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/plugins/jquery/jquery.validate.min.js HTTP/1.1" 200 23264
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/plugins/bootstrap/js/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/plugins/jquery/jquery-3.5.1.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 60180
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/plugins/ekko-lightbox/ekko-lightbox.min.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/js/index.js HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/js/base.js HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/lg-rn7-1-600x600.jpg HTTP/1.1" 200 42408
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/giamsoc_optimized.png HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/tcl-40s6500-550x340.jpg HTTP/1.1" 200 49945
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/26064-260x64.png HTTP/1.1" 200 16285
0:0:0:0:0:0:0:1 - - [05/Sep/2020:13:17:41 +0700] "GET /sample-project/images/panasonic-nr-ba229pkvn-300x300.jpg HTTP/1.1" 200 7241
